C:\WPy-3702\python-3.7.0.amd64\python.exe "C:/Users/Motaz Saad/PycharmProjects/lexicon-based-sa-unemployment/find_overlaps.py"
خطر very_neg.txt neg.txt
مجرمه very_neg.txt neg.txt
جرايم very_neg.txt neg.txt
مراره very_neg.txt neg.txt
الفشل very_neg.txt neg.txt
تشاؤم very_neg.txt neg.txt
الفقر very_neg.txt neg.txt
إستغلال very_neg.txt neg.txt
تهمشني very_neg.txt neg.txt
تهميشي very_neg.txt neg.txt
يؤلم very_neg.txt neg.txt
مهانه very_neg.txt neg.txt
مجهوله very_neg.txt neg.txt
شحاتين very_neg.txt neg.txt
منخرعات very_neg.txt neg.txt
خرعوني very_neg.txt neg.txt
تعجيزيه very_neg.txt neg.txt
تدمير very_neg.txt neg.txt
فشلوا very_neg.txt neg.txt
معفنه very_neg.txt neg.txt
تهميش very_neg.txt neg.txt
مجحفه very_neg.txt neg.txt
مجحود very_neg.txt neg.txt
يعجز very_neg.txt neg.txt
اعدائهم very_neg.txt neg.txt
تجاهل very_neg.txt neg.txt
توصيخ very_neg.txt neg.txt
بشعة very_neg.txt neg.txt
الاسف very_neg.txt neg.txt
محارب very_neg.txt neg.txt
كوارث very_neg.txt neg.txt
يعجزون very_neg.txt neg.txt
يتبلونا very_neg.txt neg.txt
مظلومه very_neg.txt neg.txt
مطرود very_neg.txt neg.txt
يطس very_neg.txt neg.txt
منقلع very_neg.txt neg.txt
الجهل very_neg.txt neg.txt
مبغضات very_neg.txt neg.txt
فشلكم very_neg.txt neg.txt
احتلال very_neg.txt neg.txt
يرفض very_neg.txt neg.txt
تهميشنا very_neg.txt neg.txt
منرثع very_neg.txt neg.txt
تسبونا very_neg.txt neg.txt
عجزوا very_neg.txt neg.txt
يعجزنا very_neg.txt neg.txt
يفجرون very_neg.txt neg.txt
طمع very_neg.txt neg.txt
يعجزهم very_neg.txt neg.txt
اهانه very_neg.txt neg.txt
الفساد very_neg.txt neg.txt
الواسطات very_neg.txt neg.txt
جاهل very_neg.txt neg.txt
بلاوي very_neg.txt neg.txt
وضيع very_neg.txt neg.txt
قذره very_neg.txt neg.txt
تشحت very_neg.txt neg.txt
سرقات very_neg.txt neg.txt
مدمر very_neg.txt neg.txt
فاسده very_neg.txt neg.txt
تشويه very_neg.txt neg.txt
عراقيل very_neg.txt neg.txt
معفن very_neg.txt neg.txt
تزوير very_neg.txt neg.txt
عاجزات very_neg.txt neg.txt
يدمر very_neg.txt neg.txt
سفله very_neg.txt neg.txt
مشاكل very_neg.txt neg.txt
متقلعين very_neg.txt neg.txt
سرقه very_neg.txt neg.txt
رفضهم very_neg.txt neg.txt
